stock_code,total_domestic,total_shares,domestic_pct
HKMU,3207929500.0,3221750000.0,99.571025064018
TAXI,9934899319.0,10223647156.0,97.17568659604473
PADI,10512518262.0,11307246524.0,92.9715137959258
WIRG,10437231496.0,11938622394.0,87.42408589156354
CARS,12463104720.0,15000000000.0,83.0873648
TGRA,2266272800.0,2750000000.0,82.40992
LCGP,4619897145.0,5630000914.0,82.05855053259056
MIRA,3209365930.0,3961452039.0,81.01488793513575
ELTY,35082308338.0,43521913019.0,80.60837841085802
DEAL,917407518.0,1146170959.0,80.04107160422305
MENN,1144537606.0,1434052006.0,79.81144346309014
IKAI,10546313873.0,13305799387.0,79.26103172203193
LMAS,617397275.0,787851525.0,78.3646734706771
TMPI,4229732544.0,5502083747.0,76.87510293361589
DADA,5685940600.0,7431530800.0,76.51102784906712
ENVY,1376393358.0,1800000000.0,76.46629766666668
SIMA,335992677.0,442589871.0,75.91513024029418
EDJSB,3279609.0,4681638.0,70.0525969756739
ASMI,6218485260.0,8958380460.0,69.41528424435771
PCAR,800710975.0,1166666700.0,68.6323673247895
TARA,6905415359.0,10069645750.0,68.57654708458836
BOGA,2580634859.0,3803526210.0,67.84848365748476
DUCK,866074960.0,1283330000.0,67.48653580918392
GAMA,6618972956.0,10011027656.0,66.11681820729953
BOSS,925506314.0,1400000000.0,66.10759385714286
YULE,1172152520.0,1785000000.0,65.66680784313725
KREN,11913177595.0,18208470100.0,65.42657087373858
FIMP,260124775.0,400000975.0,65.03103523685161
SMKM,794833389.0,1253000000.0,63.43442849162011
JSKY,1276514868.0,2032540000.0,62.803923563619904
YELO,1189698959.0,1912774405.0,62.197557427061035
MKNT,3416715538.0,5500000000.0,62.122100690909086
LABA,681736053.0,1103402553.0,61.784889943063234
POOL,1444161504.0,2341366264.0,61.680290102616766
KARK,11913314013.0,19324488028.0,61.648795019761124
PURE,846881748.0,1375181505.0,61.583270638881956
RAFI,1904576775.0,3128140475.0,60.885270026116714
WSBP,34496378710.0,56780478486.0,60.75394154789582
MAMI,7434059640.0,12299317590.0,60.44286266779781
BCIP,862764225.0,1429915525.0,60.33672688461789
MABA,9232185971.0,15365229912.0,60.08491915757024
MEJA,1339296842.0,2235502042.0,59.91033856546126
HOME,13200030152.0,22212194782.0,59.42695119303046
DEWA,23910412876.0,40687434244.0,58.7660866807446
NINE,1256547069.0,2157000000.0,58.254384283727404
MYRXP,645937179.0,1120995000.0,57.62177164037306
GDWU,144751300.0,252000000.0,57.44099206349207
KOTA,6050076858.0,10546185701.0,57.3674409832014
NASA,6301148876.0,11004929322.0,57.25751335270593
ARTI,4457426563.0,7840000000.0,56.854930650510205
